species,long,lat
Alouatta_palliata_0,-83.520925,10.571754
Alouatta_palliata_0,-82.636101,9.632162
Alouatta_palliata_0,-94.753903,17.659468
Alouatta_palliata_0,-84.661112,10.461238
Alouatta_palliata_0,-82.688689,9.624939
Alouatta_palliata_0,-82.707579,9.599701
Alouatta_palliata_0,-82.819813,9.733129
Alouatta_palliata_0,-78.22737,8.90336
Alouatta_palliata_0,-84.741097,10.974817
Alouatta_palliata_0,-84.74102,10.974795
Alouatta_palliata_0,-84.740662,10.974612
Alouatta_palliata_0,-85.45568,10.167308
Alouatta_palliata_0,-83.445197,8.442467
Alouatta_palliata_0,-80.123864,-0.115636
Alouatta_palliata_0,-85.649086,11.548673
Alouatta_palliata_0,-85.647896,11.546575
Alouatta_palliata_0,-85.68428,10.612947
Alouatta_palliata_0,-80.123947,-0.116047
Alouatta_palliata_0,-84.754235,10.48752
Alouatta_palliata_0,-79.71414,9.125486
Alouatta_palliata_0,-79.7154,9.125033
Alouatta_palliata_0,-84.145767,9.383135
Alouatta_palliata_0,-84.145763,9.383603
Alouatta_palliata_0,-80.12454,-0.11614
Alouatta_palliata_0,-79.674487,9.088893
Alouatta_palliata_0,-79.677797,9.092312
Alouatta_palliata_0,-79.720792,9.133452
Alouatta_palliata_0,-83.241177,10.167446
Alouatta_palliata_0,-84.153629,9.402975
Alouatta_palliata_0,-85.048322,9.670903
Alouatta_palliata_0,-80.12454,-0.116613
Alouatta_palliata_0,-84.145697,9.383742
Alouatta_palliata_0,-82.256016,9.3522
Alouatta_palliata_0,-82.256034,9.352342
Alouatta_palliata_0,-79.836611,9.165093
Alouatta_palliata_0,-84.008072,10.436795
Alouatta_palliata_0,-84.119636,10.4149
Alouatta_palliata_0,-84.719222,10.439572
Alouatta_palliata_0,-79.714905,9.127954
Alouatta_palliata_0,-79.838059,9.163345
Alouatta_palliata_0,-84.144158,9.389664
Alouatta_palliata_0,-77.820995,8.304507
Alouatta_palliata_0,-85.042263,10.719975
Alouatta_palliata_0,-82.884412,8.055886
Alouatta_palliata_0,-79.719618,9.182551
Alouatta_palliata_0,-79.836783,9.1647
Alouatta_palliata_0,-83.720705,9.135085
Alouatta_palliata_0,-82.256731,9.35296
Alouatta_palliata_0,-82.256708,9.352963
Alouatta_palliata_0,-82.256716,9.352951
Alouatta_palliata_0,-82.256727,9.352978
Alouatta_palliata_0,-84.14553,9.38547
Alouatta_palliata_0,-85.166742,9.643513
Alouatta_palliata_0,-85.330556,10.345
Alouatta_palliata_0,-79.854783,9.106625
Alouatta_palliata_0,-83.845045,9.980725
Alouatta_palliata_0,-79.908105,9.192116
Alouatta_palliata_0,-87.46172,15.709709
Alouatta_palliata_0,-79.714651,9.122029
Alouatta_palliata_0,-84.795361,10.303049
Alouatta_palliata_0,-84.840312,10.738149
Alouatta_palliata_0,-83.530251,8.848718
Alouatta_palliata_0,-84.741195,10.97603
Alouatta_palliata_0,-84.740395,10.974563
Alouatta_palliata_0,-85.61912,10.837513
Alouatta_palliata_0,-79.97274,9.275433
Alouatta_palliata_0,-85.058415,10.731291
Alouatta_palliata_0,-79.546517,8.993454
Alouatta_palliata_0,-78.890443,1.081392
Alouatta_palliata_0,-84.141892,9.382922
Alouatta_palliata_0,-95.120947,18.26718
Alouatta_palliata_0,-83.336455,8.405037
Alouatta_palliata_0,-85.66497,9.955175
Alouatta_palliata_0,-82.658593,9.630616
Alouatta_palliata_0,-82.836248,9.735286
Alouatta_palliata_0,-82.66095,9.631025
Alouatta_palliata_0,-82.65807,9.63073
Alouatta_palliata_0,-85.671143,10.796318
Alouatta_palliata_0,-85.613067,10.834837
Alouatta_palliata_0,-79.847966,9.171909
Alouatta_palliata_0,-82.24958,9.364823
